##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	SRR077485_1.filt.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	22311940
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
3	28-29	-0.07836021972955365
3	30-31	0.026689522587297176
3	32-33	-0.06307667248588444
3	34-35	-0.06896852684354116
3	36-37	0.16348001857432592
3	38-39	-0.06337577703612851
3	40-41	-0.061794114409764234
3	42-43	-0.08608097893030475
3	44-45	-0.09630470694913384
3	46-47	-0.06768562910032472
3	48-49	-0.058866327687937314
3	50-51	-0.039285937393287895
3	52-53	-0.043670070548486706
3	54-55	-0.019787617751809705
3	56-57	-0.014352954203815216
3	58-59	-0.0031331921597868018
3	60-61	0.018937440249956694
3	62-63	0.021896329743178455
3	64-65	0.08084987798950749
3	66-67	0.4000495241791313
3	68-69	0.1130958013606147
3	70-71	0.1220604563043679
3	72-73	0.11603796197970695
3	74-75	0.13054908926805808
3	76-77	0.022430693907971033
3	78-79	0.04198736728625363
3	80-81	0.05895458835951217
3	82-83	0.018125021655066575
3	84-85	0.07526946769579013
3	86-87	0.028604617790968234
3	88-89	0.0812178239518957
3	90-91	0.06192987044709497
3	92-93	0.026029854080384496
3	94-95	0.13871901389775587
3	96-97	0.27799246551511914
3	98-99	0.16798073861807694
3	100	0.17195194954756232
4	1	-0.10030164638703809
4	2	0.0710786988749561
4	3	-0.0915686243138154
4	4	-0.10030921662992398
4	5	-0.1045761214282166
4	6	-0.11492598933175202
4	7	-0.12001199273948515
4	8	-0.10686018432213729
4	9	-0.10834034880740262
4	10-11	-0.10309790238798655
4	12-13	-0.1166517494671595
4	14-15	-0.10939083015949791
4	16-17	-0.08954734207572557
4	18-19	-0.10245482230171632
4	20-21	-0.10947916266863444
4	22-23	-0.10315172654819094
4	24-25	-0.10409886437928861
4	26-27	-0.09515704441444939
4	28-29	-0.1002540353605923
4	30-31	0.006608595311838883
4	32-33	-0.07873478086633412
4	34-35	-0.07925677973832279
4	36-37	0.16449318725583595
4	38-39	-0.05305271037856585
4	40-41	-0.0920311249731185
4	42-43	-0.10423381164540757
4	44-45	-0.08483272605206338
4	46-47	-0.051636421835269175
4	48-49	-0.07864343075692659
4	50-51	-0.09910017509145774
4	52-53	-0.08310193775004393
4	54-55	-0.07676780428343477
4	56-57	-0.06538704079348179
4	58-59	-0.05538665379548746
4	60-61	0.013169938489561162
4	62-63	0.028982150995290112
4	64-65	0.023361736421058765
